runtime,genre,rating,about,votes,gross_earn
105 min,"Action, Crime, Drama",6.1,"After his wife is assaulted, a husband enlists the services of a vigilante group to help him settle the score. Then he discovers they want a 'favor' from him in return.","46,441",$0.04M
133 min,"Action, Crime, Thriller",5.4,A furloughed convict and his American and Chinese partners hunt a high-level cybercrime network from Chicago to Los Angeles to Hong Kong to Jakarta.,"59,888",$7.10M
111 min,"Comedy, Drama, Romance",6.6,A woman flying to France to confront her straying fiance gets into trouble when the charming crook seated next to her uses her for smuggling.,"50,226",$38.90M
102 min,"Horror, Thriller",5,Three interwoven stories about a terrible curse. A young woman encounters a malevolent supernatural force while searching for her missing sister in Tokyo; a mean high school prank goes horribly wrong; a woman with a deadly secret moves into a Chicago apartment building.,"49,528",$39.14M
111 min,"Action, Crime, Drama",7.8,A disillusioned assassin accepts one last hit in hopes of using his earnings to restore vision to a singer he accidentally blinded.,"48,444",
146 min,"Drama, History, Romance",7.5,"An American finds refuge during the 1937 Japanese invasion of Nanking in a church with a group of women. Posing as a priest, he attempts to lead the women to safety.","52,835",$0.01M
88 min,"Crime, Drama, Romance",7.9,A transient young man breaks into empty homes to partake of the vacationing residents' lives for a few days.,"55,081",$0.24M
130 min,"Drama, Music",8,A newly unemployed cellist takes a job preparing the dead for funerals.,"52,050",$1.50M
120 min,"Crime, Drama, Mystery",6.9,"In a hotel room in Paris, a doctor comes out of the shower and finds that his wife has disappeared. He soon finds himself caught up in a world of intrigue, espionage, gangsters, drugs and murder.","53,705",$17.64M
117 min,Drama,5.8,"In World War II Italy, four fascist libertines round up nine adolescent boys and girls and subject them to 120 days of physical, mental, and sexual torture.","60,076",
131 min,"Drama, Music",7.5,A young man romantically pursues his masochistic piano teacher.,"64,056",$1.90M
116 min,"Action, Drama, Sport",5.9,An all star baseball player becomes the unhealthy focus of a down on his luck salesman.,"48,694",$18.57M
128 min,"Action, Crime, Thriller",7.7,A tough-as-nails cop teams up with an undercover agent to shut down a sinister mobster and his crew.,"50,519",
87 min,"Action, Adventure, Mystery",4.8,"The world's best fighters are invited to DOA, an invitational martial arts contest. There, four female rival fighters will have to work together to uncover the secret that the organizer of the tournament is trying to hide.","44,882",$0.48M
108 min,"Biography, Drama, Thriller",6.8,CIA operative Valerie Plame discovers her identity is allegedly leaked by the government as payback for an op-ed article her husband wrote criticizing the Bush administration.,"49,173",$9.53M
127 min,"Action, Adventure, Fantasy",3.8,"A man named Farmer sets out to rescue his kidnapped wife and avenge the death of his son, two acts committed by the Krugs, a race of animal-warriors who are controlled by the evil Gallian.","49,142",$4.54M
82 min,"Animation, Adventure, Drama",6.4,An orphaned dinosaur raised by lemurs joins an arduous trek to a sanctuary after a meteorite shower destroys his family home.,"60,646",$137.75M
148 min,"Action, Crime, Thriller",7,"Don turns himself in and escapes with Vardhaan from prison, following which he recruits a team to steal currency printing plates from a bank in Berlin.","52,960",$3.68M
93 min,"Crime, Drama, Mystery",7,A man searches for his missing wife after his car breaks down in the middle of the desert.,"55,022",$50.13M
