runtime,genre,rating,about,votes,gross_earn
105 min,"Comedy, Drama, Romance",6.3,"When a woman's long-time friend reveals he's engaged, she realizes she loves him herself and sets out to get him, with only days before the wedding.","1,42,029",$127.12M
134 min,"Mystery, Thriller",7.6,"Anonymous videotapes presage a musician's murder conviction, and a gangster's girlfriend leads a mechanic astray.","1,41,522",$3.80M
96 min,"Drama, Thriller",6.8,A mentally unstable photo developer targets an upper middle-class family after his obsession with them becomes more sick and disturbing than any of them could imagine.,"1,23,432",$31.60M
197 min,"Adventure, Biography, Drama",7.9,"The slave Spartacus survives brutal training as a gladiator and leads a violent revolt against the decadent Roman Republic, as the ambitious Crassus seeks to gain power by crushing the uprising.","1,34,408",$30.00M
121 min,"Crime, Drama",7.8,A father becomes worried when a local gangster befriends his son in the Bronx in the 1960s.,"1,40,937",$17.27M
92 min,"Action, Crime, Thriller",6.4,"In Paris, a young employee in the office of the US Ambassador hooks up with an American spy looking to stop a terrorist attack in the city.","1,17,315",$23.98M
105 min,Drama,7.8,"After his wife leaves him, a work-obsessed Manhattan advertising executive is forced to learn long-neglected parenting skills, but a heated custody battle over the couple's young son deepens the wounds left by the separation.","1,44,676",$106.26M
111 min,"Action, Adventure, Drama",7.6,The Borg travel back in time intent on preventing Earth's first contact with an alien species. Captain Picard and his crew pursue them to ensure that Zefram Cochrane makes his maiden flight reaching warp speed.,"1,25,231",$92.00M
107 min,"Crime, Drama, Film-Noir",8.3,"A Los Angeles insurance representative lets an alluring housewife seduce him into a scheme of insurance fraud and murder that arouses the suspicion of his colleague, an insurance investigator.","1,56,096",$5.72M
111 min,"Comedy, Crime, Drama",5.7,Mild mannered businessman Sandy Patterson travels from Denver to Florida to confront the deceptively harmless looking woman who has been living it up after stealing Sandy's identity.,"1,33,599",$134.51M
115 min,"Comedy, Music",6.4,"After a humiliating command performance at The Kennedy Center, the Barden Bellas enter an international competition that no American group has ever won in order to regain their status and right to perform.","1,56,393",$184.30M
137 min,"Action, Adventure, Sci-Fi",6.3,A Duke's son leads desert warriors against the galactic emperor and his father's evil nemesis to free their desert world from the emperor's rule.,"1,61,293",$30.93M
162 min,"Drama, Sport",6.9,A behind-the-scenes look at the life-and-death struggles of modern-day gladiators and those who lead them.,"1,19,602",$75.53M
87 min,"Action, Adventure, Fantasy",5.7,A priest disobeys church law to track down the vampires who kidnapped his niece.,"1,20,012",$29.14M
151 min,"Biography, Crime, Drama",8,"A French convict in the 1930s befriends a fellow criminal as the two of them begin serving their sentence in the South American penal colony on Devil's Island, which inspires the man to plot his escape.","1,30,204",$53.27M
109 min,Comedy,5.6,"20 years since their first adventure, Lloyd and Harry go on a road trip to find Harry's newly discovered daughter, who was given up for adoption.","1,37,270",$86.21M
143 min,"Drama, Musical, Romance",7.2,A young soprano becomes the obsession of a disfigured and murderous musical genius who lives beneath the Paris Opéra House.,"1,22,765",$51.27M
110 min,"Action, Adventure, Comedy",6.6,"A Chinese man travels to the Wild West to rescue a kidnapped Princess. After teaming up with a train robber, the unlikely duo takes on a Chinese traitor and his corrupt boss.","1,27,191",$56.94M
97 min,"Comedy, Family, Fantasy",6.3,"An overworked mother and her daughter do not get along. When they switch bodies, each is forced to adapt to the other's life for one freaky Friday.","1,37,866",$110.23M
99 min,"Comedy, Fantasy",6.9,Con artists plan to fleece an eccentric family using an accomplice who claims to be their long-lost uncle.,"1,52,876",$113.50M
119 min,"Drama, Horror, Thriller",6.7,A lawyer takes on a negligent homicide case involving a priest who performed an exorcism on a young girl.,"1,29,658",$75.07M
110 min,"Action, Comedy, Romance",5.5,"A bounty hunter learns that his next target is his ex-wife, a reporter working on a murder cover-up. Soon after their reunion, the always-at-odds duo find themselves on a run-for-their-lives adventure.","1,27,659",$67.06M
106 min,"Adventure, Drama, Family",7.4,"After a threat from the tiger Shere Khan forces him to flee the jungle, a man-cub named Mowgli embarks on a journey of self discovery with the help of panther Bagheera and free-spirited bear Baloo.","2,75,622",$364.00M
80 min,"Comedy, Drama",7.1,"Two pairs of parents hold a cordial meeting after their sons are involved in a fight, though as their time together progresses, increasingly childish behavior throws the discussion into chaos.","1,26,711",$2.55M
136 min,"Adventure, Biography, Drama",7.1,"True story of Heinrich Harrer, an Austrian mountain climber who became friends with the Dalai Lama at the time of China's takeover of Tibet.","1,43,638",$37.96M
83 min,Horror,7.4,"Five friends head out to rural Texas to visit the grave of a grandfather. On the way they stumble across what appears to be a deserted house, only to discover something sinister within. Something armed with a chainsaw.","1,59,593",$30.86M
101 min,"Crime, Drama, Film-Noir",7.9,A psychopath forces a tennis star to comply with his theory that two strangers can get away with murder.,"1,33,451",$7.63M
111 min,"Comedy, Drama",7.3,"With only the plan of moving in together after high school, two unusually devious friends seek direction in life. As a mere gag, they respond to a man's newspaper ad for a date, only to find it will greatly complicate their lives.","1,20,879",$6.22M
117 min,"Animation, Adventure, Sci-Fi",8,Warrior and pacifist Princess Nausicaä desperately struggles to prevent two warring nations from destroying themselves and their dying planet.,"1,68,065",$0.50M
75 min,"Animation, Adventure, Comedy",7.4,Alice stumbles into the world of Wonderland. Will she get home? Not if the Queen of Hearts has her way.,"1,40,932",$1.07M
113 min,"Action, Adventure, Thriller",6.5,A botched mid-air heist results in suitcases full of cash being searched for by various groups throughout the Rocky Mountains.,"1,29,491",$84.05M
104 min,"Comedy, Drama, Music",7.4,A week in the life of a young singer as he navigates the Greenwich Village folk scene of 1961.,"1,53,447",$13.24M
123 min,Drama,7.2,A young boy attempts to make the world a better place after his teacher gives him that chance.,"1,19,133",$33.52M
80 min,"Crime, Drama, Mystery",7.9,Two men attempt to prove they committed the perfect crime by hosting a dinner party after strangling their former classmate to death.,"1,42,428",
125 min,"Comedy, Romance",5.7,Intertwining couples and singles in Los Angeles break-up and make-up based on the pressures and expectations of Valentine's Day.,"1,19,841",$110.49M
122 min,"Drama, Romance",6.9,"Set in the 1930s, a former veterinary student takes a job in a travelling circus and falls in love with the ringmaster's wife.","1,16,452",$58.71M
115 min,"Comedy, Drama, Romance",6.5,Two single adults become caregivers to an orphaned girl when their mutual best friends die in an accident.,"1,31,976",$53.37M
112 min,"Drama, Mystery, Thriller",7.5,"Kevin's mother struggles to love her strange child, despite the increasingly dangerous things he says and does as he grows up. But Kevin is just getting started, and his final act will be beyond anything anyone imagined.","1,53,809",$1.74M
91 min,"Action, Crime, Thriller",6.5,"In Manhattan, a bike messenger picks up an envelope that attracts the interest of a dirty cop, who pursues the cyclist throughout the city.","1,14,000",$20.28M
93 min,"Comedy, Western",7.7,"In order to ruin a western town, a corrupt politician appoints a black Sheriff, who promptly becomes his most formidable adversary.","1,38,469",$119.50M
103 min,"Horror, Mystery, Sci-Fi",6.2,"At an Antarctica research site, the discovery of an alien craft leads to a confrontation between graduate student Kate Lloyd and scientist Dr. Sander Halvorson.","1,31,973",$16.93M
130 min,"Biography, Drama, History",7.8,"A successful lawman's plans to retire anonymously in Tombstone, Arizona are disrupted by the kind of outlaws he was famous for eliminating.","1,47,554",$56.51M
109 min,"Drama, Romance",7.9,We meet Jesse and Celine nine years on in Greece. Almost two decades have passed since their first meeting on that train bound for Vienna.,"1,56,786",$8.11M
101 min,"Adventure, Family, Fantasy",7.3,Sixteen-year-old Sarah is given thirteen hours to solve a labyrinth and rescue her baby brother Toby when her wish for him to be taken away is granted by the Goblin King Jareth.,"1,36,062",$12.73M
109 min,"Action, Crime, Thriller",6.8,"An undercover cop, disillusioned by the death of his wife, is implicated in the murder of an officer and must struggle to clear himself.","1,13,797",$26.42M
91 min,"Comedy, Drama, Family",6.9,"Babe, a pig raised by sheepdogs on a rural English farm, learns to herd sheep with a little help from Farmer Hoggett.","1,25,157",$66.60M
114 min,"Drama, Fantasy, Romance",6.7,"An angel on Earth, a doctor unable to believe, a patient with a secret, a love story made in Heaven.","1,20,596",$78.69M
113 min,"Horror, Thriller",5.4,A group of teens are unwittingly stranded near a strange wax museum and soon must fight to survive and keep from becoming the next exhibit.,"1,24,115",$32.06M
89 min,Drama,8.3,"In post-war Italy, a working-class man's bicycle is stolen, endangering his efforts to find work. He and his son set out to find it.","1,62,324",$0.33M
100 min,"Comedy, Fantasy, Romance",6.3,"A comedy set in a world where no one has ever lied, until a writer seizes the opportunity for personal gain.","1,40,784",$18.44M
96 min,"Action, Adventure, Sci-Fi",6.7,A computer hacker is abducted into the digital world and forced to participate in gladiatorial games where his only chance of escape is with the help of a heroic security program.,"1,21,357",$33.00M
