director,stars
Paul Thomas Anderson,"('Daniel Day-Lewis',), ('Paul Dano',), ('Ciarán Hinds',), ('Martin Stringer',)"
Rob Marshall,"('Johnny Depp',), ('Penélope Cruz',), ('Ian McShane',), ('Geoffrey Rush',)"
Brad Bird,"('Tom Cruise',), ('Jeremy Renner',), ('Simon Pegg',), ('Paula Patton',)"
Lana Wachowski,"('Lilly Wachowski',), ('Keanu Reeves',), ('Laurence Fishburne',), ('Carrie-Anne Moss',)"
Baz Luhrmann,"('Leonardo DiCaprio',), ('Carey Mulligan',), ('Joel Edgerton',), ('Tobey Maguire',)"
Alfonso Cuarón,"('Julianne Moore',), ('Clive Owen',), ('Chiwetel Ejiofor',), ('Michael Caine',)"
Gavin Hood,"('Hugh Jackman',), ('Liev Schreiber',), ('Ryan Reynolds',), ('Danny Huston',)"
Paul Haggis,"('Don Cheadle',), ('Sandra Bullock',), ('Thandiwe Newton',), ('Karina Arroyave',)"
David O. Russell,"('Christian Bale',), ('Amy Adams',), ('Bradley Cooper',), ('Jennifer Lawrence',)"
Tim Burton,"('Johnny Depp',), ('Winona Ryder',), ('Dianne Wiest',), ('Anthony Michael Hall',)"
Eric Bress,"('J. Mackye Gruber',), ('Ashton Kutcher',), ('Amy Smart',), ('Melora Walters',)"
Mary Harron,"('Christian Bale',), ('Justin Theroux',), ('Josh Lucas',), ('Bill Sage',)"
Zack Snyder,"('Ben Affleck',), ('Henry Cavill',), ('Amy Adams',), ('Jesse Eisenberg',)"
Jonathan Dayton,"('Valerie Faris',), ('Steve Carell',), ('Toni Collette',), ('Greg Kinnear',)"
Park Chan-wook,"('Choi Min-sik',), ('Yoo Ji-tae',), ('Kang Hye-jeong',), ('Kim Byeong-Ok',)"
David Yates,"('Daniel Radcliffe',), ('Emma Watson',), ('Rupert Grint',), ('Brendan Gleeson',)"
Spike Jonze,"('Joaquin Phoenix',), ('Amy Adams',), ('Scarlett Johansson',), ('Rooney Mara',)"
Peter Jackson,"('Ian McKellen',), ('Martin Freeman',), ('Richard Armitage',), ('Cate Blanchett',)"
Seth Gordon,"('Jason Bateman',), ('Charlie Day',), ('Jason Sudeikis',), ('Steve Wiebe',)"
Edgar Wright,"('Simon Pegg',), ('Nick Frost',), ('Martin Freeman',), ('Bill Nighy',)"
Tim Burton,"('Ewan McGregor',), ('Albert Finney',), ('Billy Crudup',), ('Jessica Lange',)"
Stephen Chbosky,"('Logan Lerman',), ('Emma Watson',), ('Ezra Miller',), ('Paul Rudd',)"
Doug Liman,"('Brad Pitt',), ('Angelina Jolie',), ('Adam Brody',), ('Vince Vaughn',)"
Catherine Hardwicke,"('Kristen Stewart',), ('Robert Pattinson',), ('Billy Burke',), ('Sarah Clarke',)"
Paul Greengrass,"('Matt Damon',), ('Franka Potente',), ('Joan Allen',), ('Brian Cox',)"
Peter Berg,"('Will Smith',), ('Charlize Theron',), ('Jason Bateman',), ('Jae Head',)"
Luc Besson,"('Bruce Willis',), ('Milla Jovovich',), ('Gary Oldman',), ('Ian Holm',)"
Stanley Kubrick,"('Peter Sellers',), ('George C. Scott',), ('Sterling Hayden',), ('Keenan Wynn',)"
Pete Docter,"('Ronnie Del Carmen',), ('Amy Poehler',), ('Bill Hader',), ('Lewis Black',)"
Neil Burger,"('Shailene Woodley',), ('Theo James',), ('Kate Winslet',), ('Jai Courtney',)"
