director,stars
Robert Zemeckis,"('Michael J. Fox',), ('Christopher Lloyd',), ('Lea Thompson',), ('Tom Wilson',)"
Clint Eastwood,"('Sean Penn',), ('Tim Robbins',), ('Kevin Bacon',), ('Emmy Rossum',)"
Guy Ritchie,"('Robert Downey Jr.',), ('Jude Law',), ('Jared Harris',), ('Rachel McAdams',)"
Gabriele Muccino,"('Will Smith',), ('Thandiwe Newton',), ('Jaden Smith',), ('Brian Howe',)"
Neill Blomkamp,"('Matt Damon',), ('Jodie Foster',), ('Sharlto Copley',), ('Alice Braga',)"
Len Wiseman,"('Bruce Willis',), ('Justin Long',), ('Timothy Olyphant',), ('Maggie Q',)"
Steven Spielberg,"('Tom Cruise',), ('Dakota Fanning',), ('Tim Robbins',), ('Miranda Otto',)"
Steven Spielberg,"('Harrison Ford',), ('Cate Blanchett',), ('Shia LaBeouf',), ('Karen Allen',)"
Martin Scorsese,"('Robert De Niro',), ('Sharon Stone',), ('Joe Pesci',), ('James Woods',)"
Roland Emmerich,"('Dennis Quaid',), ('Jake Gyllenhaal',), ('Emmy Rossum',), ('Dash Mihok',)"
Kathryn Bigelow,"('Jeremy Renner',), ('Anthony Mackie',), ('Brian Geraghty',), ('Guy Pearce',)"
Gavin O'Connor,"('Tom Hardy',), ('Nick Nolte',), ('Joel Edgerton',), ('Jennifer Morrison',)"
Marc Forster,"('Daniel Craig',), ('Olga Kurylenko',), ('Mathieu Amalric',), ('Judi Dench',)"
David Fincher,"('Daniel Craig',), ('Rooney Mara',), ('Christopher Plummer',), ('Stellan Skarsgård',)"
Steven Spielberg,"('Harrison Ford',), ('Kate Capshaw',), ('Ke Huy Quan',), ('Amrish Puri',)"
Chris Wedge,"('Carlos Saldanha',), ('Denis Leary',), ('John Leguizamo',), ('Ray Romano',)"
David Yates,"('Daniel Radcliffe',), ('Emma Watson',), ('Rupert Grint',), ('Bill Nighy',)"
James Mangold,"('Hugh Jackman',), ('Will Yun Lee',), ('Tao Okamoto',), ('Rila Fukushima',)"
Luc Besson,"('Scarlett Johansson',), ('Morgan Freeman',), ('Choi Min-sik',), ('Amr Waked',)"
Michael Bay,"('Shia LaBeouf',), ('Rosie Huntington-Whiteley',), ('Tyrese Gibson',), ('Josh Duhamel',)"
Louis Leterrier,"('Edward Norton',), ('Liv Tyler',), ('Tim Roth',), ('William Hurt',)"
Jean-Marc Vallée,"('Matthew McConaughey',), ('Jennifer Garner',), ('Jared Leto',), ('Steve Zahn',)"
Ridley Scott,"('Denzel Washington',), ('Russell Crowe',), ('Chiwetel Ejiofor',), ('Josh Brolin',)"
Clint Eastwood,"('Bradley Cooper',), ('Sienna Miller',), ('Kyle Gallner',), ('Cole Konis',)"
Paul Greengrass,"('Tom Hanks',), ('Barkhad Abdi',), ('Barkhad Abdirahman',), ('Catherine Keener',)"
Michael Bay,"('Shia LaBeouf',), ('Megan Fox',), ('Josh Duhamel',), ('Tyrese Gibson',)"
Michael Bay,"('Bruce Willis',), ('Billy Bob Thornton',), ('Ben Affleck',), ('Liv Tyler',)"
Sofia Coppola,"('Bill Murray',), ('Scarlett Johansson',), ('Giovanni Ribisi',), ('Anna Faris',)"
David Yates,"('Daniel Radcliffe',), ('Emma Watson',), ('Rupert Grint',), ('Michael Gambon',)"
Marc Webb,"('Andrew Garfield',), ('Emma Stone',), ('Jamie Foxx',), ('Paul Giamatti',)"
Tim Burton,"('Johnny Depp',), ('Freddie Highmore',), ('David Kelly',), ('Helena Bonham Carter',)"
Richard Curtis,"('Hugh Grant',), ('Martine McCutcheon',), ('Liam Neeson',), ('Laura Linney',)"
Tate Taylor,"('Emma Stone',), ('Viola Davis',), ('Octavia Spencer',), ('Bryce Dallas Howard',)"
Stephen Sommers,"('Brendan Fraser',), ('Rachel Weisz',), ('John Hannah',), ('Arnold Vosloo',)"
Matt Reeves,"('Gary Oldman',), ('Keri Russell',), ('Andy Serkis',), ('Kodi Smit-McPhee',)"
Edward Zwick,"('Tom Cruise',), ('Ken Watanabe',), ('Billy Connolly',), ('William Atherton',)"
Rawson Marshall Thurber,"('Jason Sudeikis',), ('Jennifer Aniston',), ('Emma Roberts',), ('Ed Helms',)"
Peter Jackson,"('Naomi Watts',), ('Jack Black',), ('Adrien Brody',), ('Thomas Kretschmann',)"
Alfred Hitchcock,"('James Stewart',), ('Grace Kelly',), ('Wendell Corey',), ('Thelma Ritter',)"
Paul Weitz,"('Chris Weitz',), ('Jason Biggs',), ('Chris Klein',), ('Thomas Ian Nicholas',)"
Andrew Adamson,"('Kelly Asbury',), ('Conrad Vernon',), ('Mike Myers',), ('Eddie Murphy',)"
Ron Howard,"('Tom Hanks',), ('Audrey Tautou',), ('Jean Reno',), ('Ian McKellen',)"
Martin Scorsese,"('Leonardo DiCaprio',), ('Cameron Diaz',), ('Daniel Day-Lewis',), ('Jim Broadbent',)"
Judd Apatow,"('Steve Carell',), ('Catherine Keener',), ('Paul Rudd',), ('Romany Malco',)"
Ron Howard,"('Daniel Brühl',), ('Chris Hemsworth',), ('Olivia Wilde',), ('Alexandra Maria Lara',)"
Peyton Reed,"('Paul Rudd',), ('Michael Douglas',), ('Corey Stoll',), ('Evangeline Lilly',)"
Chris Columbus,"('Macaulay Culkin',), ('Joe Pesci',), ('Daniel Stern',), ('John Heard',)"
Evan Goldberg,"('Seth Rogen',), ('James Franco',), ('Jonah Hill',), ('Seth Rogen',)"
Wes Ball,"(""Dylan O'Brien"",), ('Kaya Scodelario',), ('Will Poulter',), ('Thomas Brodie-Sangster',)"
Gary Trousdale,"('Kirk Wise',), (""Paige O'Hara"",), ('Robby Benson',), ('Jesse Corti',)"
Ben Stiller,"('Ben Stiller',), ('Jack Black',), ('Robert Downey Jr.',), ('Jeff Kahn',)"
Martin McDonagh,"('Colin Farrell',), ('Brendan Gleeson',), ('Ciarán Hinds',), ('Elizabeth Berrington',)"
Mark Osborne,"('John Stevenson',), ('Jack Black',), ('Ian McShane',), ('Angelina Jolie',)"
Tim Burton,"('Mia Wasikowska',), ('Johnny Depp',), ('Helena Bonham Carter',), ('Anne Hathaway',)"
Antoine Fuqua,"('Denzel Washington',), ('Ethan Hawke',), ('Scott Glenn',), ('Tom Berenger',)"
Jonathan Mostow,"('Arnold Schwarzenegger',), ('Nick Stahl',), ('Kristanna Loken',), ('Claire Danes',)"
Francis Lawrence,"('Jennifer Lawrence',), ('Josh Hutcherson',), ('Liam Hemsworth',), ('Woody Harrelson',)"
Andrew Niccol,"('Justin Timberlake',), ('Amanda Seyfried',), ('Cillian Murphy',), ('Olivia Wilde',)"
Steven Spielberg,"('Tom Hanks',), ('Catherine Zeta-Jones',), ('Chi McBride',), ('Stanley Tucci',)"
David Ayer,"('Brad Pitt',), ('Shia LaBeouf',), ('Logan Lerman',), ('Michael Peña',)"
Gareth Edwards,"('Aaron Taylor-Johnson',), ('Elizabeth Olsen',), ('Bryan Cranston',), ('Ken Watanabe',)"
Justin Lin,"('Vin Diesel',), ('Paul Walker',), ('Dwayne Johnson',), ('Michelle Rodriguez',)"
Woody Allen,"('Owen Wilson',), ('Rachel McAdams',), ('Kathy Bates',), ('Kurt Fuller',)"
David Fincher,"('Jake Gyllenhaal',), ('Robert Downey Jr.',), ('Mark Ruffalo',), ('Anthony Edwards',)"
Brian De Palma,"('Tom Cruise',), ('Jon Voight',), ('Emmanuelle Béart',), ('Henry Czerny',)"
Timur Bekmambetov,"('Angelina Jolie',), ('James McAvoy',), ('Morgan Freeman',), ('Terence Stamp',)"
John McTiernan,"('Bruce Willis',), ('Jeremy Irons',), ('Samuel L. Jackson',), ('Graham Greene',)"
James Wan,"('Patrick Wilson',), ('Vera Farmiga',), ('Ron Livingston',), ('Lili Taylor',)"
James Wan,"('Cary Elwes',), ('Leigh Whannell',), ('Danny Glover',), ('Ken Leung',)"
Judd Apatow,"('Seth Rogen',), ('Katherine Heigl',), ('Paul Rudd',), ('Leslie Mann',)"
Orson Welles,"('Orson Welles',), ('Joseph Cotten',), ('Dorothy Comingore',), ('Agnes Moorehead',)"
Danny Boyle,"('Cillian Murphy',), ('Naomie Harris',), ('Christopher Eccleston',), ('Alex Palmer',)"
Larry Charles,"('Sacha Baron Cohen',), ('Ken Davitian',), ('Luenell',), ('Chester',)"
Tom Shadyac,"('Jim Carrey',), ('Jennifer Aniston',), ('Morgan Freeman',), ('Philip Baker Hall',)"
Matt Reeves,"('Mike Vogel',), ('Jessica Lucas',), ('Lizzy Caplan',), ('T.J. Miller',)"
Neil Burger,"('Edward Norton',), ('Jessica Biel',), ('Paul Giamatti',), ('Rufus Sewell',)"
Nathan Greno,"('Byron Howard',), ('Mandy Moore',), ('Zachary Levi',), ('Donna Murphy',)"
Rob Reiner,"('Cary Elwes',), ('Mandy Patinkin',), ('Robin Wright',), ('Chris Sarandon',)"
Michael Mann,"('Tom Cruise',), ('Jamie Foxx',), ('Jada Pinkett Smith',), ('Mark Ruffalo',)"
Dan Gilroy,"('Jake Gyllenhaal',), ('Rene Russo',), ('Bill Paxton',), ('Riz Ahmed',)"
Ridley Scott,"('Josh Hartnett',), ('Ewan McGregor',), ('Tom Sizemore',), ('Eric Bana',)"
Victor Fleming,"('George Cukor',), ('Mervyn LeRoy',), ('Norman Taurog',), ('Richard Thorpe',)"
Oliver Stone,"('Charlie Sheen',), ('Tom Berenger',), ('Willem Dafoe',), ('Keith David',)"
John McTiernan,"('Arnold Schwarzenegger',), ('Carl Weathers',), ('Kevin Peter Hall',), ('Elpidia Carrillo',)"
Peter Farrelly,"('Bobby Farrelly',), ('Jim Carrey',), ('Jeff Daniels',), ('Lauren Holly',)"
Alex Garland,"('Alicia Vikander',), ('Domhnall Gleeson',), ('Oscar Isaac',), ('Sonoya Mizuno',)"
J.J. Abrams,"('Elle Fanning',), ('AJ Michalka',), ('Kyle Chandler',), ('Joel Courtney',)"
Pierre Coffin,"('Chris Renaud',), ('Steve Carell',), ('Kristen Wiig',), ('Benjamin Bratt',)"
Andrew Adamson,"('Tilda Swinton',), ('Georgie Henley',), ('William Moseley',), ('Skandar Keynes',)"
McG,"('Christian Bale',), ('Sam Worthington',), ('Anton Yelchin',), ('Moon Bloodgood',)"
David Frankel,"('Anne Hathaway',), ('Meryl Streep',), ('Adrian Grenier',), ('Emily Blunt',)"
F. Gary Gray,"('Donald Sutherland',), ('Mark Wahlberg',), ('Edward Norton',), ('Charlize Theron',)"
Tom Tykwer,"('Lana Wachowski',), ('Lilly Wachowski',), ('Tom Hanks',), ('Halle Berry',)"
Steven Soderbergh,"('George Clooney',), ('Brad Pitt',), ('Julia Roberts',), ('Catherine Zeta-Jones',)"
Justin Lin,"('Vin Diesel',), ('Paul Walker',), ('Dwayne Johnson',), ('Jordana Brewster',)"
William Friedkin,"('Ellen Burstyn',), ('Max von Sydow',), ('Linda Blair',), ('Lee J. Cobb',)"
John Woo,"('John Travolta',), ('Nicolas Cage',), ('Joan Allen',), ('Alessandro Nivola',)"
Bennett Miller,"('Brad Pitt',), ('Robin Wright',), ('Jonah Hill',), ('Philip Seymour Hoffman',)"
Roland Emmerich,"('John Cusack',), ('Thandiwe Newton',), ('Chiwetel Ejiofor',), ('Amanda Peet',)"
Robert Zemeckis,"('Michael J. Fox',), ('Christopher Lloyd',), ('Mary Steenburgen',), ('Tom Wilson',)"
Tim Burton,"('Johnny Depp',), ('Helena Bonham Carter',), ('Alan Rickman',), ('Timothy Spall',)"
Steven Spielberg,"('Henry Thomas',), ('Drew Barrymore',), ('Peter Coyote',), ('Dee Wallace',)"
Brad Anderson,"('Christian Bale',), ('Jennifer Jason Leigh',), ('Aitana Sánchez-Gijón',), ('John Sharian',)"
Ben Affleck,"('Ben Affleck',), ('Rebecca Hall',), ('Jon Hamm',), ('Jeremy Renner',)"
David Dobkin,"('Owen Wilson',), ('Vince Vaughn',), ('Rachel McAdams',), ('Christopher Walken',)"
Danny Boyle,"('James Franco',), ('Amber Tamblyn',), ('Kate Mara',), ('Sean Bott',)"
Don Hall,"('Chris Williams',), ('Ryan Potter',), ('Scott Adsit',), ('Jamie Chung',)"
Steven Spielberg,"('Jeff Goldblum',), ('Julianne Moore',), ('Pete Postlethwaite',), ('Vince Vaughn',)"
James Wan,"('Vin Diesel',), ('Paul Walker',), ('Dwayne Johnson',), ('Jason Statham',)"
Clint Eastwood,"('Clint Eastwood',), ('Gene Hackman',), ('Morgan Freeman',), ('Richard Harris',)"
Peter Weir,"('Robin Williams',), ('Robert Sean Leonard',), ('Ethan Hawke',), ('Josh Charles',)"
Drew Goddard,"('Kristen Connolly',), ('Chris Hemsworth',), ('Anna Hutchison',), ('Fran Kranz',)"
Will Gluck,"('Emma Stone',), ('Amanda Bynes',), ('Penn Badgley',), ('Dan Byrd',)"
David O. Russell,"('Mark Wahlberg',), ('Christian Bale',), ('Amy Adams',), ('Melissa Leo',)"
Frank Capra,"('James Stewart',), ('Donna Reed',), ('Lionel Barrymore',), ('Thomas Mitchell',)"
Sam Mendes,"('Daniel Craig',), ('Christoph Waltz',), ('Léa Seydoux',), ('Ralph Fiennes',)"
Edgar Wright,"('Michael Cera',), ('Mary Elizabeth Winstead',), ('Kieran Culkin',), ('Anna Kendrick',)"
Mark Andrews,"('Brenda Chapman',), ('Steve Purcell',), ('Kelly Macdonald',), ('Billy Connolly',)"
Spike Lee,"('Denzel Washington',), ('Clive Owen',), ('Jodie Foster',), ('Christopher Plummer',)"
Todd Phillips,"('Robert Downey Jr.',), ('Zach Galifianakis',), ('Michelle Monaghan',), ('Jamie Foxx',)"
Rich Moore,"('John C. Reilly',), ('Jack McBrayer',), ('Jane Lynch',), ('Sarah Silverman',)"
Rob Cohen,"('Vin Diesel',), ('Paul Walker',), ('Michelle Rodriguez',), ('Jordana Brewster',)"
Terry Jones,"('Graham Chapman',), ('John Cleese',), ('Michael Palin',), ('Terry Gilliam',)"
Peyton Reed,"('Jim Carrey',), ('Zooey Deschanel',), ('Bradley Cooper',), ('John Michael Higgins',)"
M. Night Shyamalan,"('Mel Gibson',), ('Joaquin Phoenix',), ('Rory Culkin',), ('Abigail Breslin',)"
Rob Reiner,"('Wil Wheaton',), ('River Phoenix',), ('Corey Feldman',), (""Jerry O'Connell"",)"
Milos Forman,"('F. Murray Abraham',), ('Tom Hulce',), ('Elizabeth Berridge',), ('Roy Dotrice',)"
Jonathan Levine,"('Joseph Gordon-Levitt',), ('Seth Rogen',), ('Anna Kendrick',), ('Bryce Dallas Howard',)"
Jason Reitman,"('George Clooney',), ('Vera Farmiga',), ('Anna Kendrick',), ('Jason Bateman',)"
Barry Sonnenfeld,"('Tommy Lee Jones',), ('Will Smith',), ('Rip Torn',), ('Lara Flynn Boyle',)"
Sylvester Stallone,"('Sylvester Stallone',), ('Jason Statham',), ('Jet Li',), ('Dolph Lundgren',)"
Will Gluck,"('Mila Kunis',), ('Justin Timberlake',), ('Patricia Clarkson',), ('Jenna Elfman',)"
Ivan Reitman,"('Bill Murray',), ('Dan Aykroyd',), ('Sigourney Weaver',), ('Harold Ramis',)"
Renny Harlin,"('Bruce Willis',), ('William Atherton',), ('Bonnie Bedelia',), ('Reginald VelJohnson',)"
Quentin Tarantino,"('Samuel L. Jackson',), ('Kurt Russell',), ('Jennifer Jason Leigh',), ('Walton Goggins',)"
Tim Burton,"('Michael Keaton',), ('Jack Nicholson',), ('Kim Basinger',), ('Robert Wuhl',)"
Alejandro Amenábar,"('Nicole Kidman',), ('Christopher Eccleston',), ('Fionnula Flanagan',), ('Alakina Mann',)"
Tim Story,"('Ioan Gruffudd',), ('Michael Chiklis',), ('Chris Evans',), ('Jessica Alba',)"
Barry Sonnenfeld,"('Will Smith',), ('Tommy Lee Jones',), ('Josh Brolin',), ('Jemaine Clement',)"
Adam McKay,"('Will Ferrell',), ('Christina Applegate',), ('Steve Carell',), ('Paul Rudd',)"
Francis Ford Coppola,"('Al Pacino',), ('Diane Keaton',), ('Andy Garcia',), ('Talia Shire',)"
Tim Burton,"('Johnny Depp',), ('Christina Ricci',), ('Miranda Richardson',), ('Michael Gambon',)"
Tony Scott,"('Denzel Washington',), ('Christopher Walken',), ('Dakota Fanning',), ('Radha Mitchell',)"
Eric Darnell,"('Tom McGrath',), ('Chris Rock',), ('Ben Stiller',), ('David Schwimmer',)"
Peter Segal,"('Adam Sandler',), ('Drew Barrymore',), ('Rob Schneider',), ('Sean Astin',)"
Chuck Russell,"('Jim Carrey',), ('Cameron Diaz',), ('Peter Riegert',), ('Peter Greene',)"
Richard Linklater,"('Ellar Coltrane',), ('Patricia Arquette',), ('Ethan Hawke',), ('Elijah Smith',)"
Anthony Russo,"('Joe Russo',), ('Chris Evans',), ('Robert Downey Jr.',), ('Scarlett Johansson',)"
James Marsh,"('Eddie Redmayne',), ('Felicity Jones',), ('Tom Prior',), ('Sophie Perry',)"
Terry George,"('Don Cheadle',), ('Sophie Okonedo',), ('Joaquin Phoenix',), ('Xolani Mali',)"
Martin Scorsese,"('Leonardo DiCaprio',), ('Cate Blanchett',), ('Kate Beckinsale',), ('John C. Reilly',)"
Joseph Kosinski,"('Jeff Bridges',), ('Garrett Hedlund',), ('Olivia Wilde',), ('Bruce Boxleitner',)"
Robert Zemeckis,"('Denzel Washington',), ('Nadine Velazquez',), ('Don Cheadle',), ('John Goodman',)"
Michael Bay,"('Scarlett Johansson',), ('Ewan McGregor',), ('Djimon Hounsou',), ('Steve Buscemi',)"
John Lasseter,"('Joe Ranft',), ('Owen Wilson',), ('Bonnie Hunt',), ('Paul Newman',)"
Paul McGuigan,"('Josh Hartnett',), ('Ben Kingsley',), ('Morgan Freeman',), ('Lucy Liu',)"
Kurt Wimmer,"('Christian Bale',), ('Sean Bean',), ('Emily Watson',), ('Taye Diggs',)"
Jan de Bont,"('Keanu Reeves',), ('Dennis Hopper',), ('Sandra Bullock',), ('Joe Morton',)"
David Fincher,"('Michael Douglas',), ('Deborah Kara Unger',), ('Sean Penn',), ('James Rebhorn',)"
Ron Clements,"('John Musker',), ('Scott Weinger',), ('Robin Williams',), ('Linda Larkin',)"
Jay Roach,"('Ben Stiller',), ('Robert De Niro',), ('Teri Polo',), ('Blythe Danner',)"
Duncan Jones,"('Sam Rockwell',), ('Kevin Spacey',), ('Dominique McElligott',), ('Rosie Shaw',)"
Ang Lee,"('Jake Gyllenhaal',), ('Heath Ledger',), ('Michelle Williams',), ('Randy Quaid',)"
Michael Bay,"('Sean Connery',), ('Nicolas Cage',), ('Ed Harris',), ('John Spencer',)"
Taylor Hackford,"('Keanu Reeves',), ('Al Pacino',), ('Charlize Theron',), ('Jeffrey Jones',)"
Florian Henckel von Donnersmarck,"('Ulrich Mühe',), ('Martina Gedeck',), ('Sebastian Koch',), ('Ulrich Tukur',)"
David Silverman,"('Dan Castellaneta',), ('Julie Kavner',), ('Nancy Cartwright',), ('Yeardley Smith',)"
John Carpenter,"('Kurt Russell',), ('Wilford Brimley',), ('Keith David',), ('Richard Masur',)"
Phil Lord,"('Christopher Miller',), ('Channing Tatum',), ('Jonah Hill',), ('Ice Cube',)"
Steven Soderbergh,"('George Clooney',), ('Brad Pitt',), ('Matt Damon',), ('Michael Mantell',)"
John Hughes,"('Emilio Estevez',), ('Judd Nelson',), ('Molly Ringwald',), ('Ally Sheedy',)"
J.J. Abrams,"('Tom Cruise',), ('Michelle Monaghan',), ('Ving Rhames',), ('Philip Seymour Hoffman',)"
Antoine Fuqua,"('Mark Wahlberg',), ('Michael Peña',), ('Rhona Mitra',), ('Danny Glover',)"
Jon Turteltaub,"('Nicolas Cage',), ('Diane Kruger',), ('Justin Bartha',), ('Sean Bean',)"
David Gordon Green,"('Seth Rogen',), ('James Franco',), ('Gary Cole',), ('Danny McBride',)"
Shawn Levy,"('Hugh Jackman',), ('Evangeline Lilly',), ('Dakota Goyo',), ('Anthony Mackie',)"
Spike Jonze,"('John Cusack',), ('Cameron Diaz',), ('Catherine Keener',), ('John Malkovich',)"
Michael Bay,"('Ben Affleck',), ('Kate Beckinsale',), ('Josh Hartnett',), ('William Lee Scott',)"
Robert Stromberg,"('Angelina Jolie',), ('Elle Fanning',), ('Sharlto Copley',), ('Lesley Manville',)"
Darren Aronofsky,"('Mickey Rourke',), ('Marisa Tomei',), ('Evan Rachel Wood',), ('Mark Margolis',)"
Chad Stahelski,"('David Leitch',), ('Keanu Reeves',), ('Michael Nyqvist',), ('Alfie Allen',)"
Gore Verbinski,"('Naomi Watts',), ('Martin Henderson',), ('Brian Cox',), ('David Dorfman',)"
Josh Boone,"('Shailene Woodley',), ('Ansel Elgort',), ('Nat Wolff',), ('Laura Dern',)"
Alfred Hitchcock,"('James Stewart',), ('Kim Novak',), ('Barbara Bel Geddes',), ('Tom Helmore',)"
Ethan Coen,"('Joel Coen',), ('Brad Pitt',), ('Frances McDormand',), ('George Clooney',)"
Oliver Hirschbiegel,"('Bruno Ganz',), ('Alexandra Maria Lara',), ('Ulrich Matthes',), ('Juliane Köhler',)"
Andrew Niccol,"('Nicolas Cage',), ('Ethan Hawke',), ('Jared Leto',), ('Bridget Moynahan',)"
Stephen Sommers,"('Brendan Fraser',), ('Rachel Weisz',), ('John Hannah',), ('Arnold Vosloo',)"
Bobby Farrelly,"('Peter Farrelly',), ('Cameron Diaz',), ('Matt Dillon',), ('Ben Stiller',)"
Simon West,"('Sylvester Stallone',), ('Liam Hemsworth',), ('Randy Couture',), ('Jean-Claude Van Damme',)"
Evan Goldberg,"('Seth Rogen',), ('James Franco',), ('Seth Rogen',), ('Randall Park',)"
Frank Coraci,"('Adam Sandler',), ('Kate Beckinsale',), ('Christopher Walken',), ('David Hasselhoff',)"
Phil Lord,"('Christopher Miller',), ('Chris Pratt',), ('Will Ferrell',), ('Elizabeth Banks',)"
Mark Waters,"('Lindsay Lohan',), ('Jonathan Bennett',), ('Rachel McAdams',), ('Tina Fey',)"
Phillip Noyce,"('Angelina Jolie',), ('Liev Schreiber',), ('Chiwetel Ejiofor',), ('Daniel Olbrychski',)"
Martin Scorsese,"('Asa Butterfield',), ('Chloë Grace Moretz',), ('Christopher Lee',), ('Ben Kingsley',)"
M. Night Shyamalan,"('Bruce Willis',), ('Samuel L. Jackson',), ('Robin Wright',), ('Spencer Treat Clark',)"
Andy Tennant,"('Will Smith',), ('Eva Mendes',), ('Kevin James',), ('Amber Valletta',)"
Guillermo del Toro,"('Ron Perlman',), ('Doug Jones',), ('Selma Blair',), ('John Hurt',)"
Alejandro G. Iñárritu,"('Brad Pitt',), ('Cate Blanchett',), ('Gael García Bernal',), ('Mohamed Akhzam',)"
Tom Hooper,"('Hugh Jackman',), ('Russell Crowe',), ('Anne Hathaway',), ('Amanda Seyfried',)"
John Hughes,"('Matthew Broderick',), ('Alan Ruck',), ('Mia Sara',), ('Jeffrey Jones',)"
Doug Liman,"('Hayden Christensen',), ('Samuel L. Jackson',), ('Jamie Bell',), ('Rachel Bilson',)"
Joss Whedon,"('Nathan Fillion',), ('Gina Torres',), ('Chiwetel Ejiofor',), ('Alan Tudyk',)"
Michael Bay,"('Mark Wahlberg',), ('Nicola Peltz Beckham',), ('Jack Reynor',), ('Stanley Tucci',)"
Tony Scott,"('Denzel Washington',), ('Paula Patton',), ('Jim Caviezel',), ('Val Kilmer',)"
John Woo,"('Tom Cruise',), ('Dougray Scott',), ('Thandiwe Newton',), ('Ving Rhames',)"
Paul Thomas Anderson,"('Tom Cruise',), ('Jason Robards',), ('Julianne Moore',), ('Philip Seymour Hoffman',)"
Ethan Coen,"('Joel Coen',), ('Jeff Bridges',), ('Matt Damon',), ('Hailee Steinfeld',)"
Bryan Singer,"('Brandon Routh',), ('Kevin Spacey',), ('Kate Bosworth',), ('James Marsden',)"
Paul Verhoeven,"('Arnold Schwarzenegger',), ('Sharon Stone',), ('Michael Ironside',), ('Rachel Ticotin',)"
Neil Jordan,"('Brad Pitt',), ('Tom Cruise',), ('Antonio Banderas',), ('Kirsten Dunst',)"
Quentin Tarantino,"('Pam Grier',), ('Samuel L. Jackson',), ('Robert Forster',), ('Bridget Fonda',)"
Robert Schwentke,"('Bruce Willis',), ('Helen Mirren',), ('Morgan Freeman',), ('Mary-Louise Parker',)"
Steven Spielberg,"('Haley Joel Osment',), ('Jude Law',), (""Frances O'Connor"",), ('Sam Robards',)"
Olivier Megaton,"('Liam Neeson',), ('Famke Janssen',), ('Maggie Grace',), ('Leland Orser',)"
James Mangold,"('Russell Crowe',), ('Christian Bale',), ('Ben Foster',), ('Logan Lerman',)"
Wes Anderson,"('Jared Gilman',), ('Kara Hayward',), ('Bruce Willis',), ('Bill Murray',)"
Louis Leterrier,"('Corey Yuen',), ('Jason Statham',), ('Shu Qi',), ('Matt Schulze',)"
Ben Stiller,"('Ben Stiller',), ('Kristen Wiig',), ('Jon Daly',), ('Kathryn Hahn',)"
Mel Gibson,"('Gerardo Taracena',), ('Raoul Max Trujillo',), ('Dalia Hernández',), ('Rudy Youngblood',)"
David Lynch,"('Naomi Watts',), ('Laura Harring',), ('Justin Theroux',), ('Jeanne Bates',)"
Francis Lawrence,"('Keanu Reeves',), ('Rachel Weisz',), ('Djimon Hounsou',), ('Shia LaBeouf',)"
